 partition_code |    vessel_name    |   mmsi    
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
 D              | GNS NAA GBEWAA    | 627400700
 C              | GNS NAA GBEWAA    | 627400700
 K              | GNS NAA GBEWAA    | 627400700
 F              | GNS NAA GBEWAA    | 627400700
 E              | GNS NAA GBEWAA    | 627400700
